type,source_name,source_version,unit,creation_date,start_date,end_date,value
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13732,mg,2025-04-02 09:57:04+02:00,2025-03-23 01:00:00+02:00,2025-03-24 01:00:00+02:00,0.0
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13732,mg,2025-04-02 20:01:29+02:00,2025-03-24 01:00:00+02:00,2025-03-25 01:00:00+02:00,0.0
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13732,mg,2025-04-02 20:01:29+02:00,2025-03-25 01:00:00+02:00,2025-03-26 01:00:00+02:00,49.1748
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13732,mg,2025-04-02 20:01:29+02:00,2025-03-26 01:00:00+02:00,2025-03-27 01:00:00+02:00,47.954
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13732,mg,2025-04-02 20:01:30+02:00,2025-03-27 01:00:00+02:00,2025-03-28 01:00:00+02:00,207.126
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13732,mg,2025-04-02 20:01:30+02:00,2025-03-28 01:00:00+02:00,2025-03-29 01:00:00+02:00,0.0
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13848,mg,2025-04-09 08:22:55+02:00,2025-03-29 01:00:00+02:00,2025-03-30 01:00:00+02:00,107.19
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13848,mg,2025-04-09 08:22:56+02:00,2025-03-30 01:00:00+02:00,2025-03-31 00:00:00+02:00,108.331
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13848,mg,2025-04-09 08:22:56+02:00,2025-03-31 00:00:00+02:00,2025-04-01 00:00:00+02:00,241.163
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13848,mg,2025-04-09 08:22:56+02:00,2025-04-01 00:00:00+02:00,2025-04-02 00:00:00+02:00,241.661
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13848,mg,2025-04-09 08:22:57+02:00,2025-04-02 00:00:00+02:00,2025-04-03 00:00:00+02:00,28.217
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13848,mg,2025-04-09 08:22:57+02:00,2025-04-03 00:00:00+02:00,2025-04-04 00:00:00+02:00,49.578
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13865,mg,2025-04-10 12:03:15+02:00,2025-04-04 00:00:00+02:00,2025-04-05 00:00:00+02:00,40.677
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13865,mg,2025-04-10 12:03:16+02:00,2025-04-05 00:00:00+02:00,2025-04-06 00:00:00+02:00,43.194
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13865,mg,2025-04-10 12:03:16+02:00,2025-04-06 00:00:00+02:00,2025-04-07 00:00:00+02:00,444.011
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13865,mg,2025-04-10 12:03:16+02:00,2025-04-07 00:00:00+02:00,2025-04-08 00:00:00+02:00,55.736
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13865,mg,2025-04-10 12:03:16+02:00,2025-04-08 00:00:00+02:00,2025-04-09 00:00:00+02:00,267.944
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13865,mg,2025-04-10 13:59:24+02:00,2025-04-09 00:00:00+02:00,2025-04-10 00:00:00+02:00,61.6639
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13865,mg,2025-04-10 17:45:46+02:00,2025-04-10 00:00:00+02:00,2025-04-11 00:00:00+02:00,73.907
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13865,mg,2025-04-11 16:00:12+02:00,2025-04-11 00:00:00+02:00,2025-04-12 00:00:00+02:00,0.0
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13865,mg,2025-04-12 22:14:08+02:00,2025-04-12 00:00:00+02:00,2025-04-13 00:00:00+02:00,273.05
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13908,mg,2025-04-15 09:40:53+02:00,2025-04-13 00:00:00+02:00,2025-04-14 00:00:00+02:00,69.525
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13908,mg,2025-04-15 09:40:53+02:00,2025-04-14 00:00:00+02:00,2025-04-15 00:00:00+02:00,22.458
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13908,mg,2025-04-15 20:51:21+02:00,2025-04-15 00:00:00+02:00,2025-04-16 00:00:00+02:00,42.654
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13908,mg,2025-04-16 23:35:50+02:00,2025-04-16 00:00:00+02:00,2025-04-17 00:00:00+02:00,201.0
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13908,mg,2025-04-17 20:39:13+02:00,2025-04-17 00:00:00+02:00,2025-04-18 00:00:00+02:00,345.027
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13940,mg,2025-04-19 13:44:58+02:00,2025-04-19 00:00:00+02:00,2025-04-20 00:00:00+02:00,273.05
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13940,mg,2025-04-20 21:11:31+02:00,2025-04-20 00:00:00+02:00,2025-04-21 00:00:00+02:00,278.067
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13940,mg,2025-04-21 23:25:54+02:00,2025-04-21 00:00:00+02:00,2025-04-22 00:00:00+02:00,144.067
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13940,mg,2025-04-21 23:25:54+02:00,2025-04-21 00:00:00+02:00,2025-04-22 00:00:00+02:00,144.067
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13940,mg,2025-04-22 21:16:19+02:00,2025-04-22 00:00:00+02:00,2025-04-23 00:00:00+02:00,81.067
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13940,mg,2025-04-23 21:42:17+02:00,2025-04-23 00:00:00+02:00,2025-04-24 00:00:00+02:00,81.067
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13940,mg,2025-04-23 21:42:17+02:00,2025-04-23 00:00:00+02:00,2025-04-24 00:00:00+02:00,81.067
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13940,mg,2025-04-24 21:18:48+02:00,2025-04-24 00:00:00+02:00,2025-04-25 00:00:00+02:00,57.404
HKQuantityTypeIdentifierDietaryVitaminC,Foodvisor,13974,mg,2025-04-25 22:47:37+02:00,2025-04-25 00:00:00+02:00,2025-04-26 00:00:00+02:00,0.0
